Title,Company,Location,Posted,Job Type,Seniority,Description
Leave Resume Here (Data Science & Analytics),SCG,"Bangkok City, Thailand",1 week ago,"Seniority level
Entry level","Employment type
Full-time","Data Science at SCG – Transforming Data into Intelligent Solutions

Engineering Data-Driven Innovation Across Industries
At SCG, Data Science isn’t just about crunching numbers—it’s about engineering predictive insights, optimizing industrial processes, and driving intelligent automation across our diverse business landscape. Whether developing AI-powered consumer analytics, optimizing supply chains, or enhancing smart manufacturing with Industry 4.0 solutions, SCG Data Scientists work at the fo"
Data Scientist (Mid level),Sertis,"Bangkok, Bangkok City, Thailand",8 hours ago,"Seniority level
Not Applicable","Employment type
Full-time","Who is Sertis?

At Sertis, we stand at the forefront of technological innovation, harnessing the power of cutting-edge AI and data solutions to drive unparalleled business value for enterprises. Our AI and data centric solutions empower businesses, fostering adaptability in the face of change and transforming potential challenges into lucrative opportunities.

Our focus extends across Retail and FMCG industries as well as Energy, Security, and Asset Management. In the future, our expertise will "
Machine Learning Engineer,Sertis,"Bangkok, Bangkok City, Thailand",1 day ago,"Seniority level
Not Applicable","Employment type
Full-time","Who is Sertis?

Sertis is a leading Data and AI company based in the heart of Bangkok. We provide both off-the-shelf and customized solutions for our clients. Our expert team of data and AI consultants work closely with clients, across different industries such as retail, manufacturing, banking, energy, airlines, agriculture, and healthcare, to understand their business needs and deliver bespoke solutions using cutting-edge technologies that are just right for them.



Our are passionate about p"
Junior Data Scientist,GRIT,"Bangkok City, Thailand",1 week ago,"Seniority level
Associate","Employment type
Full-time","Company Overview:

A leading company specializing in developing a data-driven air freight index is seeking highly motivated Junior Data Scientists/Developers to join their dynamic team. These roles will focus on building and maintaining data-driven solutions, ensuring the accuracy and efficiency of the air freight index.








Show more"
,,,,,,
,,,,,,
Data Scientist,Dexian Asia Pacific,"Bangkok, Bangkok City, Thailand",1 week ago,"Seniority level
Associate","Employment type
Contract","Company Overview:
Our company specializes in creating a data-driven air freight index, providing critical insights to the logistics and transportation industry. We are seeking two highly moti- vated Junior Data Scientists/Developers to join our dynamic team. These roles will focus on developing and maintaining data-driven solutions, ensuring the accuracy and efficiency of our air freight index.




Show more"
AI Scientist,DataX,"Bangkok City, Thailand",1 week ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Summary
As an AI Scientist at SCB DataX, you will leverage state-of-the-art AI technologies, including Generative AI (GenAI) such as Large Language Models (LLMs), to drive innovation within our fintech solutions. You will play a key role in researching, designing, and deploying advanced AI systems, working with a cross-functional team of engineers, data scientists, and product team. The ideal candidate is passionate the practice of AI, staying ahead of technological trends and applying them to s"
Junior Data Scientist,Makro PRO,"Bangkok, Bangkok City, Thailand",1 week ago,"Seniority level
Entry level","Employment type
Full-time","We are seeking a highly motivated and skilled Data Scientist to join our team in the retail industry. The ideal candidate has at least 2 years of experience in data science, with expertise in data analysis, predictive modeling, and machine learning. Exposure to MLOps, feature engineering, and data engineering workflows will be considered a plus.










Show more"
,,,,,,
,,,,,,
,,,,,,
Senior Machine Learning Engineer,Sertis,"Bangkok, Bangkok City, Thailand",1 day ago,"Seniority level
Not Applicable","Employment type
Full-time","Who is Sertis?

Sertis is a leading Data and AI company based in the heart of Bangkok. We provide both off-the-shelf and customized solutions for our clients. Our expert team of data and AI consultants work closely with clients, across different industries such as retail, manufacturing, banking, energy, airlines, agriculture, and healthcare, to understand their business needs and deliver bespoke solutions using cutting-edge technologies that are just right for them.



As a at Sertis, you will p"
Machine Learning Engineer,ExxonMobil,"Bangkok, Bangkok City, Thailand",2 weeks ago,"Seniority level
Entry level","Employment type
Full-time","About Us
At ExxonMobil, our vision is to lead in energy innovations that advance modern living and a net-zero future. As one of the world’s largest publicly traded energy and chemical companies, we are powered by a unique and diverse workforce fueled by the pride in what we do and what we stand for.

The success of our Upstream, Product Solutions and Low Carbon Solutions businesses is the result of the talent, curiosity and drive of our people. They bring solutions every day to optimize our stra"
AI Data Scientist,Makro,"Suanluang, Bangkok City, Thailand",1 week ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Adjust language models that have already been trained for generative AI applications Ensure that the LLMs and pipelines based on LLMs are tuned and released
Create and implement LLMs for various content creation jobs Develop and communicate roadmaps for data science projects


Show more"
Data Scientist,SCB – Siam Commercial Bank,"Chatuchak, Bangkok City, Thailand",1 week ago,"Seniority level
Associate","Employment type
Full-time","Job Summary

As a Data Scientist at SCB, you will join a team of enthusiastic professionals who are passionate about leveraging data for business applications. You will analyze data, extract insights, and develop models to enhance customer experiences and formulate business strategies. Collaborating closely with multiple teams, you will identify opportunities and drive business results through data-driven research. Our team is constantly seeking individuals with strong quantitative and analytica"
,,,,,,
,,,,,,
Data Scientist,"National ITMX Co., Ltd.","Pak Kret, Nonthaburi, Thailand",2 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","About the Company:
National ITMX Co., Ltd., or former ATM Pool Co., Ltd., is a company established by Thai commercial banks. The company is expanding its operational scope of payment system services in Thailand through more products and service channels. National ITMX is currently looking for dynamic candidates to fill the following positions.


Show more"
Data Scientist,SCB – Siam Commercial Bank,"Chatuchak, Bangkok City, Thailand",1 week ago,"Seniority level
Entry level","Employment type
Full-time","Job Summary:

As Data Scientist in SCB, you will join a group of enthusiastic people working passionately to leverage this wealth of data for business uses. You will analyze the data, extract insights and create models for improving customer experience and formulating business strategies. You will work closely with multiple teams to identify opportunities and drive business results with data-driven research. Our team is constantly looking for people with strong quantitative and analytical backgr"
"Leave Resume Here (Computer Engineering/Science, Information Technology)",SCG,"Bangkok, Bangkok City, Thailand",3 weeks ago,"Seniority level
Entry level","Employment type
Full-time","Computer Engineering/Science at SCG – Innovating with Data, AI, and Digital Transformation

Driving Software Innovation, Cybersecurity, and Data Intelligence in a Rapidly Evolving World



















Show more"
Data Scientist,Data Wow,"Phra Khanong, Bangkok City, Thailand",4 months ago,"Seniority level
Entry level","Employment type
Full-time","We are seeking a bright data scientist to join our Data Science Team. As a part of our data science team, you will work related to various fields such as computer vision, NLP, data analytics, and recommendation systems.

Your tasks will implement the tailor-made solution for the sake of customer satisfaction and business value-added. Our customers are from various industries such as oil and gas, logistics, banking, social network, and so on




















Show more"
,,,,,,
,,,,,,
Machine Learning Pipeline Engineer,OxygenAI,"Bangkok City, Thailand",1 day ago,"Seniority level
Entry level","Employment type
Full-time","Job Description:
Develop machine learning pipelines, including the design, implementation, deployment, and maintenance of these systems.
Collaborate with the full-stack team to ensure seamless integration of AI pipelines and databases with dashboards.

Show more"
